stage,n,mean_ms,median_ms,p95_ms,p99_ms,cv,ci95_low,ci95_high,success_rate,successes,total
enrollment,50,589.0192584507167,567.2849181573838,773.5099399928004,823.4613821725359,0.13757054269308086,565.9854367695567,612.0530801318768,1.0,50,50
heartbeat,50,4.534621392376721,4.5979260466992855,5.329219333361834,5.584764347877353,0.09250385169654048,4.415384155308544,4.653858629444898,1.0,50,50
deployment,50,618.7870698841289,560.6965640326962,941.5216841036454,984.2117873742243,0.23847188355844762,576.8411746917758,660.732965076482,1.0,50,50
transactional_end_to_end,50,1207.8063283348456,1160.1612776285037,1516.2790216505527,1543.369216141291,0.11583765214255796,1168.0360983484009,1247.5765583212903,1.0,50,50
