stage,n,mean_ms,median_ms,min_ms,max_ms,p90_ms,p95_ms,p99_ms,iqr_ms,cv,ci95_low,ci95_high,success_rate,wilson_lo,wilson_hi,successes,total,goodput_tps
enrollment,100,583.9109730883501,557.4251380749047,444.535112939775,868.2415490038693,722.206989512779,773.3575437334366,791.1410953733142,58.81859641522169,0.14159958393329553,567.5069534010204,600.3149927756799,1.0,0.9630051925239981,0.9999999999999999,100,100,1.7125898400417496
heartbeat,100,4.4334070407785475,4.3127406388521194,3.4107689280062914,7.855054223909974,5.159472930245102,5.788992997258902,7.048308951780204,0.729460793081671,0.153368525779987,4.298505932536426,4.568308149020669,1.0,0.9630051925239981,0.9999999999999999,100,100,225.56015966997487
deployment,100,601.8842401891015,542.8400414530188,468.3573751244694,1423.7439490389079,772.5978043628859,1031.2675651628524,1295.6966905086308,88.01974024390802,0.28792892716126745,567.5015432922017,636.2669370860013,1.0,0.9630051925239981,0.9999999999999999,100,100,1.6614490515415679
transactional,100,1185.7952132774517,1132.4918484315276,956.4523939043283,1882.2834850288928,1355.2148198010404,1561.1209901282564,1789.6476858155806,191.4776461198926,0.140066650950148,1152.8428850129324,1218.747541541971,1.0,0.9630051925239981,0.9999999999999999,100,100,
