epoch,elapsed_s,cpu_used_pct,load1,load5,load15,mem_used_mb,mem_avail_mb,swap_used_mb,nproc_zephyr,rss_zephyr_mb,open_fds,gw_cpu_millicores,gw_mem_mi
1781951960.864,0.5,1.94,3.28,22.21,49.76,7529.2,119379.1,0.3,0,0.0,5024,3,2
1781951963.865,3.5,3.15,3.02,21.84,49.5,7556.1,119352.2,0.3,0,0.0,4960,3,2
1781951966.865,6.5,2.5,2.86,21.49,49.24,7565.5,119342.8,0.3,0,0.0,4896,3,2
1781951969.865,9.5,7.56,2.86,21.49,49.24,7612.8,119295.5,0.3,0,0.0,4960,3,2
1781951972.865,12.5,12.71,3.03,21.22,49.0,7917.0,118991.2,0.3,0,0.0,4832,3,2
1781951975.865,15.5,13.85,3.03,21.22,49.0,7931.9,118976.4,0.3,0,0.0,4896,3,2
1781951978.865,18.5,12.28,3.19,20.95,48.76,8101.6,118806.6,0.3,0,0.0,4896,3,2
1781951981.865,21.5,9.44,4.05,20.83,48.57,8167.1,118736.1,0.3,0,0.0,4960,3,2
1781951984.865,24.5,11.35,4.05,20.83,48.57,8151.5,118751.3,0.3,0,0.0,5024,1,2
1781951987.865,27.5,13.22,4.21,20.59,48.35,8182.3,118721.4,0.3,0,0.0,5024,1,2
1781951990.866,30.5,12.53,4.21,20.59,48.35,8176.0,118727.9,0.3,0,0.0,5216,1,2
1781951993.866,33.5,12.58,4.59,20.39,48.13,8226.0,118677.7,0.3,0,0.0,5216,1,2
1781951996.866,36.5,12.35,4.63,20.14,47.9,8166.3,118737.2,0.3,0,0.0,5152,1,3
1781951999.866,39.5,13.19,4.63,20.14,47.9,8176.7,118727.9,0.3,0,0.0,5216,1,3
1781952002.866,42.5,13.31,4.82,19.92,47.68,8206.0,118696.9,0.3,0,0.0,5280,1,3
1781952005.866,45.5,12.49,4.82,19.92,47.68,8181.0,118723.3,0.3,0,0.0,5408,1,3
1781952008.866,48.5,13.04,5.23,19.75,47.48,8248.7,118654.2,0.3,0,0.0,5408,1,3
1781952011.866,51.5,15.38,5.85,19.64,47.29,8163.4,118739.7,0.3,0,0.0,5344,1,3
1781952014.866,54.5,14.59,5.85,19.64,47.29,8216.9,118687.3,0.3,0,0.0,5280,1,3
1781952017.867,57.5,15.6,6.83,19.61,47.14,8204.5,118698.6,0.3,0,0.0,5280,1,3
1781952020.867,60.5,14.6,6.83,19.61,47.14,8261.1,118642.4,0.3,0,0.0,5408,1,3
1781952023.867,63.5,15.57,9.32,19.92,47.09,8157.7,118746.4,0.3,0,0.0,5536,1,3
1781952026.867,66.5,14.65,10.34,19.95,46.95,8103.3,118800.7,0.3,0,0.0,5600,1,3
1781952029.867,69.5,15.62,10.34,19.95,46.95,8080.1,118823.9,0.3,0,0.0,5536,1,3
1781952032.867,72.5,16.72,10.39,19.81,46.76,8253.7,118649.8,0.3,0,0.0,5536,1,5
1781952035.867,75.5,15.71,10.39,19.81,46.76,8203.9,118699.7,0.3,0,0.0,5472,1,5
1781952038.867,78.5,16.49,10.28,19.63,46.56,8125.6,118778.3,0.3,0,0.0,5536,1,5
1781952041.867,81.5,15.21,12.02,19.83,46.48,8225.6,118678.1,0.3,0,0.0,5472,1,5
1781952044.868,84.5,16.32,12.02,19.83,46.48,8271.6,118632.6,0.3,0,0.0,5408,1,8
1781952047.868,87.5,15.98,11.54,19.6,46.26,8205.3,118698.6,0.3,0,0.0,5408,1,8
1781952050.868,90.5,21.31,11.54,19.6,46.26,7850.1,119055.2,0.3,0,0.0,5152,1,8
